date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2013-05-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,2.78,1.5332
2013-05-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.39,1.3169
2013-05-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.35,1.2957
2013-05-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,4.49,2.4753
2013-05-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.2,1.2116
2013-05-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,13.64,7.5178
2013-05-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,25.72,14.1716
2013-05-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,24.06,13.2573
2013-05-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.29,1.2633
2013-05-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,37.35,20.5811
2013-05-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,30.89,17.0237
2013-05-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,39.92,21.9963
2013-05-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.4,0.7708
2013-05-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,14.02,7.7256
2013-05-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.56,1.9618
2013-05-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,10.41,5.7384
2013-05-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.21,3.4218
2013-05-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,5.89,3.2467
2013-05-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,6.17,3.4014
2013-05-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.62,6.9514
2013-05-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,3.26,1.7982
2013-05-15,,,National Average,,,pulses and nuts,"Peas (green, dry)",KG,actual,Retail,TRY,2.39,1.316
2013-05-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,2.25,1.2392
2013-05-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,4.08,2.2471
2013-05-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,1.47,0.809
2013-05-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,8.14,4.4867
2013-05-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,1.16,0.6383
2013-05-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,1.7,0.9375
2013-06-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,2.81,0.1497
2013-06-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.39,0.1273
2013-06-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.37,0.1262
2013-06-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,4.58,0.2437
2013-06-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.21,0.1178
2013-06-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,13.78,0.7331
2013-06-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,6.72,0.3576
2013-06-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,25.24,1.3431
2013-06-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,24.19,1.2873
2013-06-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.27,0.1209
2013-06-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,37.65,2.0039
2013-06-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,31.02,1.6506
2013-06-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,39.76,2.1159
2013-06-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.4,0.0743
2013-06-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,14.0,0.745
2013-06-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.44,0.1832
2013-06-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,10.42,0.5545
2013-06-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.19,0.3296
2013-06-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,6.1,0.3246
2013-06-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,6.06,0.3224
2013-06-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.44,0.6619
2013-06-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,3.28,0.1747
2013-06-15,,,National Average,,,pulses and nuts,"Peas (green, dry)",KG,actual,Retail,TRY,2.38,0.1268
2013-06-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,2.39,0.1271
2013-06-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,3.97,0.2115
2013-06-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,1.26,0.0672
2013-06-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,7.77,0.4135
2013-06-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,1.16,0.0616
2013-06-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,1.69,0.0897
2013-11-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,2.9,1.4268
2013-11-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.4,1.1804
2013-11-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.36,1.1618
2013-11-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,4.79,2.3528
2013-11-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.27,1.1144
2013-11-15,,,National Average,,,"meat, fish and eggs",Eggs,Unit,actual,Retail,TRY,0.36,0.1748
2013-11-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,12.49,6.1385
2013-11-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,25.72,12.645
2013-11-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,25.87,12.716
2013-11-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.47,1.2126
2013-11-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,38.14,18.7485
2013-11-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,30.74,15.1123
2013-11-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,40.03,19.6751
2013-11-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.47,0.7234
2013-11-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,14.19,6.9761
2013-11-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.67,1.8052
2013-11-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,10.72,5.2683
2013-11-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,5.95,2.9257
2013-11-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,7.16,3.5212
2013-11-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,5.64,2.774
2013-11-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.73,6.2586
2013-11-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,3.6,1.7691
2013-11-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,1.83,0.9014
2013-11-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,3.99,1.9623
2013-11-15,,,National Average,,,vegetables and fruits,Cabbage,KG,actual,Retail,TRY,1.09,0.5365
2013-11-15,,,National Average,,,vegetables and fruits,Cauliflower,KG,actual,Retail,TRY,2.3,1.1328
2013-11-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,1.86,0.915
2013-11-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,8.3,4.0789
2013-11-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,0.97,0.477
2013-11-15,,,National Average,,,vegetables and fruits,Oranges,KG,actual,Retail,TRY,5.95,2.9257
2013-11-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,2.05,1.0069
2013-12-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,2.91,0.1551
2013-12-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.44,0.1297
2013-12-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.4,0.1276
2013-12-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,5.13,0.2732
2013-12-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.34,0.1246
2013-12-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,13.94,0.7418
2013-12-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,TRY,6.47,0.3441
2013-12-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,25.76,1.3708
2013-12-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,25.97,1.3819
2013-12-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.49,0.1324
2013-12-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,38.03,2.0241
2013-12-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,30.91,1.6448
2013-12-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,40.11,2.1348
2013-12-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.47,0.0782
2013-12-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.65,0.194
2013-12-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,14.4,0.7663
2013-12-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.69,0.1963
2013-12-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,10.91,0.5807
2013-12-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,5.98,0.318
2013-12-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,8.58,0.4564
2013-12-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,5.8,0.3086
2013-12-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.64,0.6724
2013-12-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,3.66,0.195
2013-12-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,1.85,0.0986
2013-12-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,3.97,0.211
2013-12-15,,,National Average,,,vegetables and fruits,Cabbage,KG,actual,Retail,TRY,1.12,0.0595
2013-12-15,,,National Average,,,vegetables and fruits,Cauliflower,KG,actual,Retail,TRY,1.79,0.0952
2013-12-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,2.36,0.1254
2013-12-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,8.36,0.445
2013-12-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,0.97,0.0518
2013-12-15,,,National Average,,,vegetables and fruits,Oranges,KG,actual,Retail,TRY,1.63,0.0869
2013-12-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,1.9,0.1009
2014-01-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,3.0,1.3733
2014-01-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.48,1.1383
2014-01-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.47,1.1307
2014-01-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,5.51,2.5252
2014-01-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.39,1.0963
2014-01-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,13.89,6.3676
2014-01-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,26.05,11.9376
2014-01-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,25.94,11.8875
2014-01-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.5,1.1443
2014-01-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,38.54,17.663
2014-01-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,31.26,14.3268
2014-01-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,39.51,18.1075
2014-01-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.48,0.676
2014-01-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.65,1.6715
2014-01-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,15.21,6.9695
2014-01-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.75,1.718
2014-01-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,11.19,5.1265
2014-01-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.06,2.7767
2014-01-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,9.54,4.373
2014-01-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,5.84,2.6768
2014-01-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.71,5.8262
2014-01-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,3.87,1.7751
2014-01-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,1.92,0.8801
2014-01-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,4.11,1.8839
2014-01-15,,,National Average,,,vegetables and fruits,Cabbage,KG,actual,Retail,TRY,1.16,0.5331
2014-01-15,,,National Average,,,vegetables and fruits,Cauliflower,KG,actual,Retail,TRY,1.87,0.8579
2014-01-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,2.37,1.0882
2014-01-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,8.78,4.0254
2014-01-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,1.01,0.4616
2014-01-15,,,National Average,,,vegetables and fruits,Oranges,KG,actual,Retail,TRY,1.51,0.694
2014-01-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,2.34,1.0708
2014-02-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,3.06,0.1628
2014-02-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.57,0.1367
2014-02-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.55,0.1356
2014-02-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,5.81,0.3094
2014-02-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.44,0.1296
2014-02-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,14.46,0.7696
2014-02-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,26.67,1.4191
2014-02-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,26.31,1.4
2014-02-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.54,0.1353
2014-02-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,38.29,2.0374
2014-02-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,31.21,1.6611
2014-02-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,39.25,2.089
2014-02-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.49,0.0792
2014-02-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.68,0.1958
2014-02-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,15.27,0.8128
2014-02-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.73,0.1987
2014-02-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,11.84,0.6302
2014-02-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.15,0.3271
2014-02-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,10.06,0.5354
2014-02-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,5.89,0.3134
2014-02-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.75,0.6786
2014-02-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,4.14,0.2204
2014-02-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,2.02,0.1075
2014-02-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,4.49,0.2389
2014-02-15,,,National Average,,,vegetables and fruits,Cabbage,KG,actual,Retail,TRY,1.08,0.0574
2014-02-15,,,National Average,,,vegetables and fruits,Cauliflower,KG,actual,Retail,TRY,1.53,0.0813
2014-02-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,2.76,0.147
2014-02-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,8.78,0.4674
2014-02-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,0.99,0.0525
2014-02-15,,,National Average,,,vegetables and fruits,Oranges,KG,actual,Retail,TRY,1.54,0.0818
2014-02-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,1.77,0.0943
2014-03-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,3.06,0.1628
2014-03-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.59,0.1378
2014-03-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.63,0.1399
2014-03-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,6.0,0.3194
2014-03-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.47,0.1316
2014-03-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,14.85,0.7904
2014-03-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,26.89,1.4313
2014-03-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,26.43,1.4063
2014-03-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.57,0.1365
2014-03-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,38.54,2.0507
2014-03-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,31.11,1.6555
2014-03-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,39.13,2.0826
2014-03-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.47,0.0781
2014-03-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.73,0.1987
2014-03-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,15.42,0.8204
2014-03-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.71,0.1977
2014-03-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,12.17,0.6478
2014-03-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.18,0.3288
2014-03-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,10.25,0.5453
2014-03-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,5.91,0.3143
2014-03-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.78,0.6801
2014-03-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,4.28,0.2279
2014-03-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,2.18,0.116
2014-03-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,5.3,0.2818
2014-03-15,,,National Average,,,vegetables and fruits,Cabbage,KG,actual,Retail,TRY,1.04,0.0553
2014-03-15,,,National Average,,,vegetables and fruits,Cauliflower,KG,actual,Retail,TRY,1.97,0.1049
2014-03-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,2.58,0.1375
2014-03-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,9.54,0.5075
2014-03-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,1.07,0.0571
2014-03-15,,,National Average,,,vegetables and fruits,Oranges,KG,actual,Retail,TRY,1.58,0.0843
2014-03-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,2.01,0.1072
2014-05-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,3.12,1.5068
2014-05-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.61,1.2613
2014-05-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.66,1.2867
2014-05-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,6.32,3.0522
2014-05-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.54,1.2281
2014-05-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,14.51,7.0087
2014-05-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,26.77,12.929
2014-05-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,27.01,13.045
2014-05-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.55,1.2331
2014-05-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,38.24,18.4682
2014-05-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,30.95,14.9472
2014-05-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,38.91,18.7927
2014-05-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.47,0.7122
2014-05-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,15.61,7.5393
2014-05-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.8,1.834
2014-05-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,12.65,6.1069
2014-05-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.19,2.9891
2014-05-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,10.17,4.9125
2014-05-15,,,National Average,,,pulses and nuts,Chickpeas,KG,actual,Retail,TRY,5.92,2.858
2014-05-15,,,National Average,,,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,TRY,12.81,6.188
2014-05-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,TRY,4.33,2.0898
2014-05-15,,,National Average,,,pulses and nuts,"Peas (green, dry)",KG,actual,Retail,TRY,3.53,1.7053
2014-05-15,,,National Average,,,vegetables and fruits,Apples (red),KG,actual,Retail,TRY,2.41,1.165
2014-05-15,,,National Average,,,vegetables and fruits,Bananas,KG,actual,Retail,TRY,5.8,2.8
2014-05-15,,,National Average,,,vegetables and fruits,Cucumbers (greenhouse),KG,actual,Retail,TRY,1.96,0.9482
2014-05-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,TRY,9.43,4.556
2014-05-15,,,National Average,,,vegetables and fruits,Onions,KG,actual,Retail,TRY,1.15,0.5561
2014-05-15,,,National Average,,,vegetables and fruits,Oranges,KG,actual,Retail,TRY,1.69,0.8149
2014-05-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,TRY,2.18,1.0519
2014-06-15,,,National Average,,,cereals and tubers,Bread (common),KG,actual,Retail,TRY,3.21,0.1706
2014-06-15,,,National Average,,,cereals and tubers,Bulgur,KG,actual,Retail,TRY,2.63,0.14
2014-06-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,TRY,2.67,0.1419
2014-06-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,TRY,6.6,0.3513
2014-06-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,TRY,2.6,0.1385
2014-06-15,,,National Average,,,"meat, fish and eggs",Fish (fresh),KG,actual,Retail,TRY,15.67,0.8339
2014-06-15,,,National Average,,,"meat, fish and eggs",Meat (mutton),KG,actual,Retail,TRY,26.42,1.4061
2014-06-15,,,National Average,,,"meat, fish and eggs",Meat (veal),KG,actual,Retail,TRY,28.05,1.4925
2014-06-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,actual,Retail,TRY,2.54,0.1349
2014-06-15,,,National Average,,,miscellaneous food,Cocoa (powder),KG,actual,Retail,TRY,38.45,2.046
2014-06-15,,,National Average,,,miscellaneous food,Coffee,KG,actual,Retail,TRY,31.07,1.6535
2014-06-15,,,National Average,,,miscellaneous food,Coffee (instant),Unit,actual,Retail,TRY,39.59,2.1066
2014-06-15,,,National Average,,,miscellaneous food,Salt,KG,actual,Retail,TRY,1.49,0.0794
2014-06-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,TRY,3.79,0.2017
2014-06-15,,,National Average,,,miscellaneous food,Tea,KG,actual,Retail,TRY,16.08,0.8557
2014-06-15,,,National Average,,,miscellaneous food,Tea (green),Unit,actual,Retail,TRY,3.87,0.2058
2014-06-15,,,National Average,,,oil and fats,Oil (olive),L,actual,Retail,TRY,13.03,0.6935
2014-06-15,,,National Average,,,oil and fats,Oil (sunflower),L,actual,Retail,TRY,6.18,0.3286
2014-06-15,,,National Average,,,pulses and nuts,Beans (white),KG,actual,Retail,TRY,10.08,0.5363
